satellite,storm_date,mean_drag_acc,log_drag,drag_tercile,method,window_min,r_native,sigma,beta,SD_pct_native,expl_var_pct,n_valid,r_matched
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,5.0,0.5545505953468784,0.8843755079250134,-0.0994777705763235,142.5255269872066,-40.100026851450465,17584,0.557591379023091
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,7.0,0.634520255569885,0.8402194399012997,-0.1231605913758485,132.1963333400601,-9.640911428539866,18126,0.6389944208091151
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,10.0,0.6880616077506988,0.7886720642910859,-0.1122792935616178,120.45626162719928,5.222500525860429,18693,0.692772013540862
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,15.0,0.7488778046882206,0.6842040530585124,-0.1082615073002086,97.70924161157106,29.82797809915735,19246,0.7537728778682162
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,20.0,0.7924578221071804,0.6198160219632562,-0.1055349547752107,84.37687222543906,48.27387797295414,19665,0.7968411720668087
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,30.0,0.8494369427220524,0.5275236490312734,-0.1129681728384298,68.39111794281953,70.29676668428915,20510,0.8608024250499156
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,45.0,0.8549911430993842,0.2955648519619405,-0.137692948840252,46.16926239878549,69.67941699832272,20966,0.923457712210195
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,60.0,0.6886773332439975,0.2413888037873171,-0.2113155361035336,56.96040024100271,43.53875698365856,20957,0.8590009614102466
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,75.0,0.4959302749676824,0.2444905331666773,-0.3274659268619323,73.66160340726186,21.92082031246051,20989,0.7625734113821104
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,90.0,0.2627229729661584,0.1714708350220027,-0.3562133568443993,85.00091615463177,6.844022396769988,21022,0.7381642784742707
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,100.0,0.0509913350977941,0.1551497218595132,-0.3197587115824586,94.3357466867823,-3.592919273524675,21002,0.7600886782468694
